Date/Time: 2/25/2021 5:27:32 PM
Sensor Name: PinDiode_1
Type: None
Annealing Status: None
Environment: RT
Tester: Andrew

Time Delay per Ramp Step (s): 0.500

Vf: 0.326610

Time	I	0.000000s	Temperature	Air_Temp	Humidity	Dewpoint	
3697135862.040240	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135863.325392	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135864.594263	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135865.873290	1.000E-5	3.276E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135867.142446	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135868.428568	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135869.699611	1.000E-3	5.616E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135870.982341	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135872.252110	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135873.536331	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135874.808292	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135876.091506	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135877.361100	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135878.637986	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135879.916042	1.000E-3	5.618E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135881.200308	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135882.466835	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135883.752254	1.000E-5	3.286E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135885.018643	1.000E-3	5.606E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135886.308142	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135887.576325	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135888.857285	1.000E-5	3.279E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135890.133022	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135891.415491	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135892.685135	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135893.971869	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135895.242838	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135896.529075	1.000E-5	3.284E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135897.797826	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135899.084950	1.000E-5	3.282E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135900.354435	1.000E-3	5.611E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135901.644321	1.000E-5	3.278E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135902.906969	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135904.193496	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135905.467111	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135906.753121	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135908.018924	1.000E-3	5.612E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135909.305088	1.000E-5	3.281E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
3697135910.573796	1.000E-3	5.617E-1	 -246.8610	 -246.8610	  -25.8065	       NaN	
