#Open Capacitance 1000Hz:6.203850E-12
#Open Capacitance 1000000Hz:Not Measured
#38202_028_2-S_HM_XX_Unirrad_Single
#Date/Time: 4/1/2022 3:36:25 PM
#Sensor Name: 38202_028_2-S_HM_XX
#Station: Tesla 2
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: Cleaved at Brown. Pstop inhomogeneity

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-1.0	I_RBias_V-5.0
24	3731687058.788586	4.465528	23.887514	25.209873	-3.080000E-9	-6.188435E-11	8.254510E-11	-5.419340E-11	-5.560804E-11	-5.462075E-11	-5.534392E-11	-5.494153E-11	-5.498233E-11	-7.024126E-7	-3.511443E-6
25	3731687075.903295	4.463638	23.888803	25.187977	-3.080000E-9	-5.953060E-11	8.254620E-11	-5.623725E-11	-5.510679E-11	-5.638200E-11	-5.637125E-11	-5.602432E-11	-5.630425E-11	-7.023085E-7	-3.510926E-6
26	3731687092.987280	4.469986	23.888426	25.182865	-3.080000E-9	-5.832862E-11	8.255130E-11	-5.720709E-11	-5.503004E-11	-5.484369E-11	-5.603423E-11	-5.577876E-11	-5.553213E-11	-7.018692E-7	-3.508743E-6
27	3731687110.068916	4.463640	23.888961	25.190631	-3.090000E-9	-6.138356E-11	8.255170E-11	-5.634201E-11	-5.585922E-11	-5.429105E-11	-5.409452E-11	-5.514670E-11	-5.507513E-11	-7.023962E-7	-3.511361E-6
28	3731687127.102975	4.457069	23.887971	25.228977	-3.090000E-9	-5.817839E-11	8.255240E-11	-5.612274E-11	-5.468227E-11	-5.393007E-11	-5.718090E-11	-5.547900E-11	-5.540251E-11	-7.029096E-7	-3.513939E-6
29	3731687144.117507	4.463171	23.888506	25.201353	-3.080000E-9	-5.882943E-11	8.255220E-11	-5.527003E-11	-5.612092E-11	-5.678379E-11	-5.677850E-11	-5.623831E-11	-5.644971E-11	-7.017632E-7	-3.508201E-6
30	3731687161.141662	4.466686	23.888725	25.216829	-3.090000E-9	-5.832864E-11	8.255410E-11	-5.625814E-11	-5.601836E-11	-5.723062E-11	-5.402383E-11	-5.588274E-11	-5.613825E-11	-7.027540E-7	-3.513163E-6
31	3731687178.153661	4.462858	23.889914	25.241758	-3.080000E-9	-6.544009E-11	8.255410E-11	-5.178752E-11	-5.137948E-11	-5.427196E-11	-5.361640E-11	-5.276384E-11	-5.270196E-11	-7.029201E-7	-3.513978E-6
32	3731687195.185894	4.463690	23.888704	25.277626	-3.090000E-9	-6.378743E-11	8.255380E-11	-5.922639E-11	-5.805982E-11	-5.779403E-11	-5.776113E-11	-5.821034E-11	-5.792693E-11	-7.036219E-7	-3.517522E-6
33	3731687212.255541	4.458850	23.890904	25.227748	-3.090000E-9	-6.058224E-11	8.255510E-11	-5.799523E-11	-5.656797E-11	-5.689787E-11	-5.697967E-11	-5.711019E-11	-5.693877E-11	-7.021538E-7	-3.510151E-6
