#Open Capacitance 1000Hz:4.561470E-12
#Open Capacitance 1000000Hz:Not Measured
#34252_008_PSS_XX_HM_IrradSensor_AfterAlibava
#Date/Time: 6/3/2021 11:50:08 AM
#Sensor Name: 34252_008_PSS_XX_HM_IrradSensor_AfterAlibava
#Type: P
#Annealing Status: 1100 min
#Environment: -20C
#Tester: Eric Spencer

#Notes: Irradiated to 1.1e15 at RINSC, after Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
21	3705580577.414551	2.765734	-20.000000	24.624234	-1.571600E-5	-5.738874E-11	8.792920E-11	-2.236134E-7	-2.236580E-7	-2.239268E-7	-2.241733E-7	-2.238429E-7	-2.237924E-7	-1.755247E-6
22	3705580592.464307	2.655584	-20.000000	24.633826	-1.582400E-5	-5.874045E-11	8.792920E-11	-2.245425E-7	-2.244332E-7	-2.242574E-7	-2.241492E-7	-2.243456E-7	-2.243453E-7	-1.759685E-6
23	3705580607.513029	2.736459	-20.000000	24.626096	-1.579300E-5	-5.643748E-11	8.793400E-11	-2.251274E-7	-2.251172E-7	-2.251666E-7	-2.252188E-7	-2.251575E-7	-2.251470E-7	-1.759925E-6
24	3705580622.480677	2.747398	-20.000000	24.611213	-1.577200E-5	-5.788930E-11	8.793940E-11	-2.229640E-7	-2.229033E-7	-2.229185E-7	-2.230064E-7	-2.229480E-7	-2.229412E-7	-1.760519E-6
25	3705580637.387796	2.749431	-20.000000	24.606992	-1.580500E-5	-5.563645E-11	8.793690E-11	-2.242030E-7	-2.243465E-7	-2.245080E-7	-2.245345E-7	-2.243980E-7	-2.244272E-7	-1.762974E-6
26	3705580652.397220	2.759723	-20.000000	24.596371	-1.579200E-5	-5.673787E-11	8.793580E-11	-2.251279E-7	-2.250590E-7	-2.249588E-7	-2.248390E-7	-2.249962E-7	-2.250089E-7	-1.765791E-6
27	3705580667.800266	2.774493	-20.000000	24.591000	-1.574300E-5	-5.608701E-11	8.794130E-11	-2.234940E-7	-2.235008E-7	-2.238672E-7	-2.243127E-7	-2.237937E-7	-2.236840E-7	-1.765200E-6
28	3705580682.657558	2.920122	-20.000000	24.606299	-1.577500E-5	-5.748884E-11	8.793800E-11	-2.239473E-7	-2.238865E-7	-2.238512E-7	-2.238717E-7	-2.238892E-7	-2.238791E-7	-1.769264E-6
29	3705580697.749532	2.839377	-20.000000	24.577525	-1.572300E-5	-5.683800E-11	8.794800E-11	-2.235737E-7	-2.234559E-7	-2.233190E-7	-2.231812E-7	-2.233825E-7	-2.233875E-7	-1.768924E-6
30	3705580712.874820	2.710241	-20.000000	24.588068	-1.573200E-5	-5.603695E-11	8.794700E-11	-2.236502E-7	-2.233880E-7	-2.231658E-7	-2.230437E-7	-2.233119E-7	-2.232769E-7	-1.770409E-6
31	3705580727.835967	2.836626	-20.000000	24.582301	-1.575900E-5	-5.869037E-11	8.794900E-11	-2.236192E-7	-2.238420E-7	-2.239568E-7	-2.239769E-7	-2.238487E-7	-2.238994E-7	-1.771609E-6
32	3705580742.865254	2.731397	-20.000000	24.581153	-1.572100E-5	-5.463512E-11	8.795610E-11	-2.235856E-7	-2.237696E-7	-2.238078E-7	-2.236761E-7	-2.237098E-7	-2.237229E-7	-1.773453E-6
33	3705580757.978240	2.711302	-20.000000	24.587751	-1.573700E-5	-5.533602E-11	8.795720E-11	-2.241046E-7	-2.243110E-7	-2.245051E-7	-2.246162E-7	-2.243842E-7	-2.244081E-7	-1.772408E-6
34	3705580772.967164	2.799507	-20.000000	24.585075	-1.577000E-5	-5.593684E-11	8.796170E-11	-2.239797E-7	-2.238306E-7	-2.238637E-7	-2.239063E-7	-2.238951E-7	-2.238850E-7	-1.775546E-6
35	3705580788.006437	2.832575	-20.000000	24.575543	-1.572700E-5	-5.493553E-11	8.796650E-11	-2.240770E-7	-2.239618E-7	-2.238831E-7	-2.238271E-7	-2.239373E-7	-2.239225E-7	-1.775662E-6
36	3705580803.125327	2.797746	-20.000000	24.586008	-1.572300E-5	-5.588675E-11	8.796830E-11	-2.243151E-7	-2.242917E-7	-2.240125E-7	-2.237655E-7	-2.240962E-7	-2.241521E-7	-1.774428E-6
37	3705580818.153900	2.755913	-20.000000	24.578971	-1.572200E-5	-5.999209E-11	8.796950E-11	-2.234113E-7	-2.237326E-7	-2.239238E-7	-2.238987E-7	-2.237416E-7	-2.238156E-7	-1.774871E-6
38	3705580833.136094	2.755953	-20.000000	24.582340	-1.565700E-5	-5.453499E-11	8.797740E-11	-2.240255E-7	-2.238678E-7	-2.236765E-7	-2.235214E-7	-2.237728E-7	-2.237722E-7	-1.775193E-6
39	3705580847.988418	2.753552	-20.000000	24.588029	-1.569900E-5	-5.538610E-11	8.797800E-11	-2.236332E-7	-2.236653E-7	-2.237220E-7	-2.238769E-7	-2.237243E-7	-2.236936E-7	-1.769973E-6
40	3705580863.138611	2.782339	-20.000000	24.562187	-1.574900E-5	-5.633733E-11	8.797760E-11	-2.244649E-7	-2.243675E-7	-2.243143E-7	-2.243026E-7	-2.243623E-7	-2.243409E-7	-1.773969E-6
41	3705580878.227164	2.935549	-20.000000	24.553429	-1.567300E-5	-5.763905E-11	8.798560E-11	-2.230579E-7	-2.235651E-7	-2.241071E-7	-2.242381E-7	-2.237420E-7	-2.238361E-7	-1.774055E-6
42	3705580893.200459	2.878040	-20.000000	24.553766	-1.569500E-5	-5.728856E-11	8.798310E-11	-2.247913E-7	-2.247195E-7	-2.244881E-7	-2.241220E-7	-2.245302E-7	-2.246038E-7	-1.776417E-6
43	3705580908.287948	2.850436	-20.000000	24.552042	-1.566500E-5	-5.453503E-11	8.798660E-11	-2.229605E-7	-2.228958E-7	-2.228693E-7	-2.227687E-7	-2.228736E-7	-2.228826E-7	-1.778557E-6
44	3705580923.388051	2.704599	-20.000000	24.559434	-1.569600E-5	-5.989192E-11	8.799500E-11	-2.239410E-7	-2.239024E-7	-2.239550E-7	-2.238793E-7	-2.239194E-7	-2.239217E-7	-1.779556E-6
45	3705580938.435313	2.896424	-20.000000	24.548673	-1.566400E-5	-5.493548E-11	8.799870E-11	-2.255533E-7	-2.254807E-7	-2.254487E-7	-2.254518E-7	-2.254836E-7	-2.254662E-7	-1.779004E-6
46	3705580953.535062	2.873862	-20.000000	24.545343	-1.566800E-5	-5.914100E-11	8.800270E-11	-2.258217E-7	-2.258693E-7	-2.258475E-7	-2.258082E-7	-2.258367E-7	-2.258346E-7	-1.779156E-6
47	3705580968.679344	2.816975	-20.000000	24.542132	-1.565000E-5	-5.889064E-11	8.800720E-11	-2.233483E-7	-2.233426E-7	-2.234052E-7	-2.236082E-7	-2.234261E-7	-2.233767E-7	-1.781832E-6
48	3705580983.456337	2.887689	-20.000000	24.532543	-1.564400E-5	-6.009220E-11	8.800950E-11	-2.238196E-7	-2.241614E-7	-2.243000E-7	-2.244074E-7	-2.241721E-7	-2.242307E-7	-1.784378E-6
49	3705580998.371879	2.762246	-20.000000	24.527312	-1.568500E-5	-5.533604E-11	8.800890E-11	-2.227815E-7	-2.228251E-7	-2.228608E-7	-2.229042E-7	-2.228429E-7	-2.228430E-7	-1.786257E-6
50	3705581013.761855	2.757915	-20.000000	24.521049	-1.561400E-5	-6.159415E-11	8.801410E-11	-2.230671E-7	-2.228987E-7	-2.227655E-7	-2.227616E-7	-2.228732E-7	-2.228321E-7	-1.782632E-6
51	3705581028.745643	2.708677	-20.000000	24.531114	-1.562200E-5	-5.989197E-11	8.801430E-11	-2.226173E-7	-2.226993E-7	-2.228514E-7	-2.230754E-7	-2.228108E-7	-2.227754E-7	-1.786156E-6
52	3705581043.718441	2.689365	-20.000000	24.527252	-1.563200E-5	-6.064296E-11	8.801980E-11	-2.228405E-7	-2.231281E-7	-2.234065E-7	-2.235081E-7	-2.232208E-7	-2.232673E-7	-1.782091E-6
53	3705581059.038270	2.797804	-20.000000	24.533255	-1.565600E-5	-6.079313E-11	8.802530E-11	-2.233634E-7	-2.231848E-7	-2.230950E-7	-2.230731E-7	-2.231791E-7	-2.231399E-7	-1.781482E-6
54	3705581074.129934	2.743093	-20.000000	24.517481	-1.569600E-5	-5.773914E-11	8.802960E-11	-2.245772E-7	-2.244488E-7	-2.243320E-7	-2.241212E-7	-2.243698E-7	-2.243904E-7	-1.783966E-6
55	3705581088.836366	2.673466	-20.000000	24.513460	-1.564800E-5	-5.984189E-11	8.802940E-11	-2.241990E-7	-2.239789E-7	-2.237744E-7	-2.238123E-7	-2.239411E-7	-2.238956E-7	-1.786072E-6
56	3705581103.760042	2.902620	-20.000000	24.509574	-1.563600E-5	-5.889066E-11	8.803730E-11	-2.236535E-7	-2.238760E-7	-2.239892E-7	-2.238665E-7	-2.238463E-7	-2.238712E-7	-1.787272E-6
57	3705581119.211171	2.836730	-20.000000	24.509039	-1.560100E-5	-5.798947E-11	8.803930E-11	-2.244905E-7	-2.245503E-7	-2.245469E-7	-2.243424E-7	-2.244825E-7	-2.245187E-7	-1.787547E-6
58	3705581133.949971	2.958101	-20.000000	24.505096	-1.558300E-5	-5.748883E-11	8.804570E-11	-2.246937E-7	-2.247694E-7	-2.249437E-7	-2.249215E-7	-2.248321E-7	-2.248454E-7	-1.789000E-6
59	3705581148.907953	2.897186	-20.000000	24.505156	-1.563400E-5	-5.423462E-11	8.805440E-11	-2.255588E-7	-2.251482E-7	-2.248145E-7	-2.246432E-7	-2.250412E-7	-2.249814E-7	-1.786892E-6
60	3705581163.742315	2.825264	-20.000000	24.500935	-1.555300E-5	-5.493555E-11	8.804840E-11	-2.270985E-7	-2.270449E-7	-2.269591E-7	-2.269425E-7	-2.270113E-7	-2.270020E-7	-1.784045E-6
