#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 100000Hz:4.909820E-12
#34341_012_PSS_XX_HM_Interstrip
#Date/Time: 6/29/2021 3:42:03 PM
#Sensor Name: 34341_012_PSS_XX_HM
#Type: P
#Annealing Status: Not Irradiated
#Environment: RT
#Tester: Eric Spencer

#Notes: Humidity sensor not in chamber, chamber less than 10%

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-2.5	I_InterstripR_V-5.0
22	3707841131.495822	37.945597	22.552868	21.642883	-2.400000E-9	6.001670E-12	-2.568300E-10	-3.384241E-10	-4.188016E-10
23	3707841157.128561	39.150091	22.546823	21.666049	-2.410000E-9	6.002080E-12	-2.556664E-10	-3.354880E-10	-4.170652E-10
24	3707841182.823255	38.786661	22.546070	21.624057	-2.400000E-9	6.000720E-12	-2.553100E-10	-3.349538E-10	-4.151196E-10
25	3707841208.514176	38.642847	22.543790	21.721278	-2.390000E-9	6.001240E-12	-2.571683E-10	-3.368359E-10	-4.157089E-10
26	3707841234.179986	39.386126	22.538995	21.655883	-2.410000E-9	6.000930E-12	-2.562069E-10	-3.370353E-10	-4.171009E-10
27	3707841259.827281	37.831563	22.536517	21.699857	-2.400000E-9	6.000670E-12	-2.553831E-10	-3.376395E-10	-4.169644E-10
28	3707841285.482847	39.268573	22.535429	21.626457	-2.400000E-9	6.001820E-12	-2.581774E-10	-3.378240E-10	-4.168382E-10
29	3707841311.183208	37.892679	22.531226	21.603270	-2.400000E-9	6.000750E-12	-2.564271E-10	-3.373533E-10	-4.159826E-10
30	3707841336.869986	37.979650	22.530117	21.599426	-2.400000E-9	5.999680E-12	-2.555717E-10	-3.357118E-10	-4.171103E-10
31	3707841362.548419	37.618559	22.529068	21.650395	-2.400000E-9	6.000860E-12	-2.582765E-10	-3.384476E-10	-4.173542E-10
32	3707841388.210183	37.397133	22.527244	21.608839	-2.400000E-9	6.000680E-12	-2.576758E-10	-3.370713E-10	-4.157792E-10
33	3707841414.046333	37.700618	22.526174	21.639616	-2.390000E-9	6.000070E-12	-2.573628E-10	-3.378508E-10	-4.165447E-10
34	3707841439.730105	37.481734	22.524252	21.748486	-2.400000E-9	6.000700E-12	-2.601775E-10	-3.381021E-10	-4.177585E-10
35	3707841465.410590	37.481680	22.523101	21.811127	-2.390000E-9	5.999600E-12	-2.577235E-10	-3.368398E-10	-4.144490E-10
36	3707841491.116237	38.043067	22.523597	21.766758	-2.390000E-9	6.000040E-12	-2.581468E-10	-3.377534E-10	-4.154030E-10
37	3707841516.811988	38.800436	22.522091	21.834769	-2.390000E-9	6.001050E-12	-2.583260E-10	-3.365415E-10	-4.156168E-10
38	3707841542.484660	37.461925	22.522052	21.798247	-2.380000E-9	6.000900E-12	-2.581587E-10	-3.375580E-10	-4.134779E-10
39	3707841568.356185	35.529498	22.516740	21.784335	-2.400000E-9	6.001160E-12	-2.590140E-10	-3.359282E-10	-4.152066E-10
40	3707841594.033834	39.326629	22.514561	21.705979	-2.390000E-9	6.000100E-12	-2.580040E-10	-3.353920E-10	-4.140529E-10
41	3707841619.839196	36.276535	22.508517	21.651127	-2.390000E-9	6.000810E-12	-2.598259E-10	-3.369078E-10	-4.145917E-10
42	3707841645.533530	38.219473	22.507823	21.699283	-2.390000E-9	6.000800E-12	-2.608321E-10	-3.377558E-10	-4.148195E-10
43	3707841671.346534	37.744089	22.503642	21.682062	-2.390000E-9	6.000940E-12	-2.585691E-10	-3.353424E-10	-4.139949E-10
44	3707841697.046168	36.666251	22.501205	21.709231	-2.380000E-9	6.000620E-12	-2.596605E-10	-3.366110E-10	-4.133723E-10
45	3707841722.726167	36.998559	22.495597	21.731701	-2.390000E-9	6.000510E-12	-2.592783E-10	-3.366495E-10	-4.133637E-10
46	3707841748.413265	38.021763	22.496727	21.676018	-2.390000E-9	6.000240E-12	-2.606790E-10	-3.368108E-10	-4.118902E-10
47	3707841774.111050	35.999657	22.492366	21.680475	-2.380000E-9	6.000080E-12	-2.592004E-10	-3.360446E-10	-4.141233E-10
48	3707841799.788233	37.925934	22.492782	21.694982	-2.380000E-9	5.999560E-12	-2.579329E-10	-3.351081E-10	-4.106670E-10
49	3707841825.439239	35.446131	22.490306	21.619878	-2.380000E-9	6.000790E-12	-2.604236E-10	-3.373115E-10	-4.126801E-10
50	3707841851.138463	36.237195	22.486065	21.672034	-2.380000E-9	5.999980E-12	-2.612180E-10	-3.365312E-10	-4.127586E-10
51	3707841876.829323	38.180748	22.484382	21.720010	-2.380000E-9	6.000730E-12	-2.592246E-10	-3.321916E-10	-4.076952E-10
52	3707841902.526202	37.516127	22.481348	21.669260	-2.380000E-9	5.999960E-12	-2.590652E-10	-3.320823E-10	-4.074241E-10
53	3707841928.222493	37.042537	22.478158	21.646016	-2.380000E-9	6.000170E-12	-2.598336E-10	-3.325789E-10	-4.065142E-10
54	3707841953.901790	36.706886	22.473621	21.777657	-2.380000E-9	6.000370E-12	-2.574970E-10	-3.401905E-10	-4.066178E-10
55	3707841979.549665	37.600848	22.469439	21.668052	-2.370000E-9	5.999930E-12	-2.590282E-10	-3.303657E-10	-4.043459E-10
56	3707842005.245215	36.746839	22.468925	21.649582	-2.370000E-9	5.998880E-12	-2.579850E-10	-3.311691E-10	-4.047091E-10
57	3707842030.925184	37.333056	22.467675	21.705683	-2.380000E-9	5.995260E-12	-2.581008E-10	-3.338085E-10	-4.039648E-10
58	3707842056.612838	38.834256	22.464109	21.596356	-2.380000E-9	5.984380E-12	-2.591173E-10	-3.321089E-10	-4.062742E-10
59	3707842082.389434	37.927292	22.461769	21.736974	-2.380000E-9	5.936140E-12	-2.600871E-10	-3.347251E-10	-4.022822E-10
