#Open Capacitance 1000Hz:4.950090E-12
#Open Capacitance 100000Hz:4.765720E-12
#34340_040_PSS_XX_HM_Irrad_20min
#Date/Time: 8/13/2021 3:55:36 PM
#Sensor Name: 34340_040_PSS_XX_HM_Irrad_20min
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C
1	3711729409.107690	2.062445	-20.000000	22.747104	-1.800000E-8	1.001445E-5	7.274250E-12	5.970630E-12
#Open Capacitance 1000Hz:4.581240E-12
#Open Capacitance 100000Hz:4.378900E-12
#34340_040_PSS_XX_HM_Irrad_20min
#Date/Time: 8/13/2021 3:57:55 PM
#Sensor Name: 34340_040_PSS_XX_HM_Irrad_20min
#Type: P
#Annealing Status: 20 min
#Environment: 20C
#Tester: Eric Spencer

#Notes: Irradiated for 56 min at RINSC

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Interstrip C	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0	IstripNbr_0	IstripNbr_1	IstripNbr_2	IstripNbr_3	IstripNbr_Mean	IstripNbr_Median	I_RBias Nbr_V-5.0	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
30	3711730969.512792	1.869462	-20.000000	22.523218	-2.551400E-5	-5.693838E-11	8.999010E-11	5.194350E-12	-3.546559E-7	-3.546413E-7	-3.546244E-7	-3.546280E-7	-3.546374E-7	-3.546346E-7	-1.752549E-6	-3.546143E-7	-3.546057E-7	-3.546144E-7	-3.546295E-7	-3.546160E-7	-3.546144E-7	-1.755511E-6	-3.540022E-7	-3.547375E-7	-3.553913E-7	-3.561499E-7	-3.569343E-7	-3.578111E-7
31	3711731018.503051	1.865004	-20.000000	22.512616	-2.552500E-5	-6.094363E-11	8.998700E-11	5.194350E-12	-3.544077E-7	-3.544039E-7	-3.544140E-7	-3.544087E-7	-3.544086E-7	-3.544082E-7	-1.753048E-6	-3.543353E-7	-3.543360E-7	-3.543578E-7	-3.544012E-7	-3.543576E-7	-3.543469E-7	-1.754378E-6	-3.538270E-7	-3.545721E-7	-3.552138E-7	-3.558507E-7	-3.565165E-7	-3.573824E-7
32	3711731067.317720	1.847379	-20.000000	22.514200	-2.552400E-5	-6.079341E-11	8.998860E-11	5.194140E-12	-3.538067E-7	-3.538218E-7	-3.538416E-7	-3.538389E-7	-3.538273E-7	-3.538303E-7	-1.752227E-6	-3.538273E-7	-3.538318E-7	-3.538539E-7	-3.538840E-7	-3.538493E-7	-3.538429E-7	-1.755196E-6	-3.533665E-7	-3.540530E-7	-3.548387E-7	-3.554494E-7	-3.562735E-7	-3.568803E-7
33	3711731116.598809	1.857898	-20.000000	22.497655	-2.550200E-5	-5.909115E-11	8.998460E-11	5.195620E-12	-3.534611E-7	-3.534613E-7	-3.534595E-7	-3.534482E-7	-3.534575E-7	-3.534603E-7	-1.753033E-6	-3.534983E-7	-3.534707E-7	-3.534352E-7	-3.534071E-7	-3.534528E-7	-3.534529E-7	-1.755922E-6	-3.528588E-7	-3.533874E-7	-3.542094E-7	-3.550096E-7	-3.557992E-7	-3.566534E-7
34	3711731165.552546	1.897717	-20.000000	22.512299	-2.551600E-5	-6.044291E-11	8.998710E-11	5.195870E-12	-3.532658E-7	-3.532841E-7	-3.533164E-7	-3.533316E-7	-3.532995E-7	-3.533003E-7	-1.753420E-6	-3.532722E-7	-3.532543E-7	-3.532362E-7	-3.532290E-7	-3.532479E-7	-3.532452E-7	-1.755466E-6	-3.526960E-7	-3.533369E-7	-3.540689E-7	-3.546690E-7	-3.554239E-7	-3.561314E-7
35	3711731214.589816	1.874765	-20.000000	22.513725	-2.550800E-5	-6.705154E-11	8.998750E-11	5.195200E-12	-3.527122E-7	-3.526970E-7	-3.526875E-7	-3.526826E-7	-3.526948E-7	-3.526922E-7	-1.753338E-6	-3.527738E-7	-3.527757E-7	-3.527694E-7	-3.527616E-7	-3.527701E-7	-3.527716E-7	-1.755054E-6	-3.521125E-7	-3.526674E-7	-3.535004E-7	-3.541439E-7	-3.549781E-7	-3.556127E-7
36	3711731263.617185	1.882966	-20.000000	22.501242	-2.548300E-5	-5.869061E-11	8.998640E-11	5.193980E-12	-3.523334E-7	-3.523291E-7	-3.523243E-7	-3.522973E-7	-3.523210E-7	-3.523267E-7	-1.752911E-6	-3.525379E-7	-3.525229E-7	-3.525021E-7	-3.524911E-7	-3.525135E-7	-3.525125E-7	-1.754352E-6	-3.517818E-7	-3.525712E-7	-3.533136E-7	-3.540817E-7	-3.549434E-7	-3.556862E-7
37	3711731312.702536	1.865261	-20.000000	22.508712	-2.549200E-5	-6.239548E-11	8.999170E-11	5.194860E-12	-3.522419E-7	-3.522539E-7	-3.522559E-7	-3.522443E-7	-3.522490E-7	-3.522491E-7	-1.751869E-6	-3.520848E-7	-3.520756E-7	-3.520663E-7	-3.520780E-7	-3.520762E-7	-3.520768E-7	-1.754099E-6	-3.516794E-7	-3.522277E-7	-3.529431E-7	-3.536566E-7	-3.544723E-7	-3.551780E-7
38	3711731361.566539	1.901521	-20.000000	22.497119	-2.548900E-5	-6.189483E-11	8.998930E-11	5.194480E-12	-3.517167E-7	-3.517071E-7	-3.516934E-7	-3.516841E-7	-3.517003E-7	-3.517003E-7	-1.751962E-6	-3.516487E-7	-3.516386E-7	-3.516130E-7	-3.516077E-7	-3.516270E-7	-3.516258E-7	-1.752827E-6	-3.509956E-7	-3.518316E-7	-3.526866E-7	-3.533011E-7	-3.541561E-7	-3.546929E-7
39	3711731410.659448	1.884675	-20.000000	22.504966	-2.547800E-5	-5.773939E-11	8.999040E-11	5.194950E-12	-3.511697E-7	-3.511461E-7	-3.511011E-7	-3.510802E-7	-3.511243E-7	-3.511236E-7	-1.750533E-6	-3.513719E-7	-3.513535E-7	-3.513314E-7	-3.512890E-7	-3.513365E-7	-3.513425E-7	-1.753430E-6	-3.506351E-7	-3.515367E-7	-3.521602E-7	-3.528240E-7	-3.536153E-7	-3.543263E-7
