#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.318600E-12
#37398_001_PSS_HM_XX_Unirrad_Interstrip
#Date/Time: 11/3/2021 4:38:33 PM
#Sensor Name: 37398_001_PSS_HM_XX
#Type: P
#Annealing Status: Not Irradiated
#Environment: 20C
#Tester: Eric Spencer

#Notes: Pre-irrad measurement

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
40	3718818232.742969	1.108347	24.591005	28.058790	-2.870000E-9	5.409310E-12	-3.198273E-11	-3.473983E-11	-3.844920E-11	-3.980138E-11	-4.404986E-11	-4.763904E-11
41	3718818269.063949	1.101879	24.606205	28.068122	-2.870000E-9	5.410590E-12	-3.507939E-11	-3.572033E-11	-3.889919E-11	-4.332187E-11	-4.546237E-11	-4.861054E-11
42	3718818305.378344	1.111437	24.587260	28.070481	-2.870000E-9	5.410680E-12	-3.030325E-11	-3.309142E-11	-3.677176E-11	-3.814827E-11	-4.410836E-11	-4.779055E-11
43	3718818341.660322	1.103702	24.538153	28.071273	-2.870000E-9	5.411670E-12	-3.354325E-11	-3.477541E-11	-3.936674E-11	-4.269035E-11	-4.452213E-11	-4.950070E-11
44	3718818377.942624	1.105303	24.499195	28.071868	-2.870000E-9	5.409300E-12	-3.253146E-11	-3.601126E-11	-3.916250E-11	-4.247610E-11	-4.552757E-11	-4.893337E-11
45	3718818414.250533	1.108087	24.514434	28.074405	-2.870000E-9	5.410440E-12	-3.304031E-11	-3.646000E-11	-4.086715E-11	-4.377286E-11	-4.684704E-11	-4.914067E-11
46	3718818450.541947	1.108029	24.445374	28.079577	-2.870000E-9	5.411740E-12	-2.995324E-11	-3.507327E-11	-3.866019E-11	-4.132303E-11	-4.402186E-11	-4.866819E-11
47	3718818486.823894	1.100102	24.493229	28.089662	-2.870000E-9	5.413760E-12	-3.110384E-11	-3.481976E-11	-3.822332E-11	-4.116480E-11	-4.507473E-11	-4.817387E-11
48	3718818523.098398	1.104549	24.360816	28.081538	-2.870000E-9	5.411130E-12	-3.131646E-11	-3.464334E-11	-3.789601E-11	-4.221277E-11	-4.510582E-11	-4.845823E-11
49	3718818559.406864	1.094213	24.339434	28.101494	-2.870000E-9	5.411190E-12	-3.423076E-11	-3.867614E-11	-4.095708E-11	-4.377222E-11	-4.782467E-11	-4.936369E-11
50	3718818595.705593	1.096684	24.364797	28.096600	-2.870000E-9	5.411690E-12	-3.180037E-11	-3.805769E-11	-4.219210E-11	-4.440825E-11	-4.862504E-11	-5.013648E-11
51	3718818632.025528	1.099186	24.371140	28.107717	-2.870000E-9	5.410840E-12	-2.963677E-11	-3.320528E-11	-3.743947E-11	-3.896460E-11	-4.508108E-11	-4.624781E-11
52	3718818668.333737	1.103698	24.349995	28.099532	-2.860000E-9	5.409840E-12	-3.015382E-11	-3.328175E-11	-3.682410E-11	-4.141115E-11	-4.513504E-11	-4.839834E-11
53	3718818704.619962	1.100025	24.485423	28.115465	-2.880000E-9	5.410730E-12	-2.749892E-11	-3.312249E-11	-3.777782E-11	-4.094993E-11	-4.547729E-11	-4.698033E-11
54	3718818741.213653	1.096082	24.447790	28.124421	-2.870000E-9	5.414780E-12	-3.160840E-11	-3.576838E-11	-3.801273E-11	-4.230886E-11	-4.513463E-11	-4.922713E-11
55	3718818794.438978	1.096956	24.332538	28.119229	-2.880000E-9	5.410220E-12	-3.523663E-11	-3.808632E-11	-4.232789E-11	-4.601577E-11	-5.018658E-11	-5.338445E-11
56	3718818830.993978	1.101588	24.335649	28.130683	-2.870000E-9	5.408030E-12	-3.131994E-11	-3.495633E-11	-3.888875E-11	-4.344064E-11	-4.483964E-11	-4.965646E-11
57	3718818867.567835	1.095743	24.427875	28.123590	-2.870000E-9	5.400480E-12	-3.053815E-11	-3.438268E-11	-3.800189E-11	-4.146127E-11	-4.330429E-11	-4.777786E-11
58	3718818904.294195	1.087220	24.376509	28.138470	-2.870000E-9	5.384200E-12	-3.393271E-11	-3.789867E-11	-4.143385E-11	-4.413638E-11	-4.822642E-11	-5.306309E-11
59	3718818941.082854	1.101667	24.406195	28.136808	-2.870000E-9	5.324430E-12	-3.371928E-11	-3.769668E-11	-3.992058E-11	-4.357987E-11	-4.686402E-11	-4.980697E-11
