#Open Capacitance 1000Hz:Not Measured
#Open Capacitance 1000000Hz:4.311780E-12
#38212_044_PSS_HM_XX_Unirrad_Interstrip
#Date/Time: 12/9/2021 1:32:46 PM
#Sensor Name: 38212_044_PSS_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Interstrip C	I_InterstripR_V-0.0	I_InterstripR_V-1.0	I_InterstripR_V-2.0	I_InterstripR_V-3.0	I_InterstripR_V-4.0	I_InterstripR_V-5.0
38	3721920981.845291	1.090129	23.500000	28.072818	-3.300000E-9	5.409840E-12	-3.033230E-11	-5.090767E-11	-6.818807E-11	-8.713123E-11	-1.035742E-10	-1.174112E-10
39	3721921018.265611	1.087191	23.500000	28.076782	-3.300000E-9	5.409970E-12	-3.542227E-11	-4.925172E-11	-6.368610E-11	-8.028060E-11	-9.481819E-11	-1.111530E-10
40	3721921054.536951	1.089201	23.500000	28.084353	-3.310000E-9	5.410890E-12	-3.321901E-11	-4.804469E-11	-6.398417E-11	-7.828607E-11	-9.384940E-11	-1.086910E-10
41	3721921090.787342	1.080964	23.500000	28.094756	-3.310000E-9	5.411950E-12	-3.488377E-11	-4.903335E-11	-6.076748E-11	-7.187027E-11	-8.627276E-11	-1.004297E-10
42	3721921127.054498	1.087459	23.500000	28.097886	-3.310000E-9	5.411150E-12	-3.112349E-11	-4.566866E-11	-5.957312E-11	-7.068388E-11	-8.196841E-11	-9.890064E-11
43	3721921163.338070	1.077828	23.500000	28.103078	-3.310000E-9	5.412510E-12	-3.129092E-11	-4.507393E-11	-5.693585E-11	-7.172470E-11	-8.072217E-11	-9.432019E-11
44	3721921199.605390	1.085847	23.500000	28.112273	-3.320000E-9	5.413380E-12	-3.103781E-11	-4.358110E-11	-5.462461E-11	-6.630661E-11	-7.905455E-11	-9.008168E-11
45	3721921235.920269	1.079464	23.500000	28.116494	-3.310000E-9	5.409360E-12	-3.107256E-11	-4.173111E-11	-4.975011E-11	-6.485752E-11	-7.665990E-11	-8.981979E-11
46	3721921272.232842	1.075870	23.500000	28.116078	-3.310000E-9	5.412070E-12	-3.146387E-11	-4.544113E-11	-5.519316E-11	-6.775630E-11	-7.847044E-11	-9.014344E-11
47	3721921308.540871	1.076842	23.500000	28.124361	-3.300000E-9	5.412550E-12	-2.867673E-11	-4.040368E-11	-5.311750E-11	-6.435705E-11	-7.736546E-11	-8.685336E-11
48	3721921344.986984	1.080154	23.500000	28.128166	-3.300000E-9	5.413350E-12	-3.115498E-11	-4.453400E-11	-5.445678E-11	-6.589832E-11	-7.543633E-11	-8.591190E-11
49	3721921381.531459	1.079709	23.500000	28.140829	-3.310000E-9	5.411460E-12	-3.186560E-11	-4.304077E-11	-5.627670E-11	-6.629965E-11	-7.982015E-11	-8.903433E-11
50	3721921417.813195	1.072301	23.500000	28.142475	-3.300000E-9	5.411890E-12	-3.177073E-11	-4.300070E-11	-5.179882E-11	-6.541443E-11	-7.770934E-11	-8.555945E-11
51	3721921454.369311	1.070881	23.500000	28.146855	-3.300000E-9	5.412080E-12	-3.453050E-11	-4.323070E-11	-5.450747E-11	-6.634236E-11	-7.481790E-11	-8.854081E-11
52	3721921490.942173	1.077307	23.500000	28.160447	-3.310000E-9	5.412840E-12	-3.376445E-11	-4.354310E-11	-5.281080E-11	-6.470521E-11	-7.612815E-11	-8.514321E-11
53	3721921527.372172	1.085025	23.500000	28.156782	-3.300000E-9	5.411900E-12	-3.459653E-11	-4.557626E-11	-5.837775E-11	-6.741262E-11	-7.762652E-11	-9.092625E-11
54	3721921563.787421	1.074915	23.500000	28.162488	-3.310000E-9	5.413100E-12	-3.205819E-11	-4.335581E-11	-5.445574E-11	-6.560457E-11	-7.647222E-11	-8.623757E-11
55	3721921600.365829	1.079298	23.500000	28.169187	-3.310000E-9	5.412990E-12	-3.435895E-11	-4.382582E-11	-5.591912E-11	-6.556650E-11	-7.700070E-11	-8.664645E-11
56	3721921637.259078	1.077191	23.500000	28.178462	-3.300000E-9	5.410060E-12	-3.496983E-11	-4.291728E-11	-5.435025E-11	-6.390910E-11	-7.398829E-11	-8.405085E-11
57	3721921673.738949	1.072124	23.500000	28.188805	-3.300000E-9	5.403800E-12	-2.947812E-11	-4.164851E-11	-5.275723E-11	-6.261605E-11	-7.300922E-11	-8.242312E-11
58	3721921710.278133	1.069612	23.500000	28.196535	-3.300000E-9	5.387230E-12	-3.635126E-11	-4.598453E-11	-5.729381E-11	-6.637550E-11	-7.671041E-11	-8.660681E-11
59	3721921746.873215	1.081094	23.500000	28.193086	-3.310000E-9	5.328450E-12	-3.801724E-11	-4.817901E-11	-5.605980E-11	-6.810507E-11	-7.702015E-11	-8.915885E-11
