#Open Capacitance 1000Hz:4.490150E-12
#Open Capacitance 1000000Hz:Not Measured
#37895_001_PSS_HM_XX_Unirrad_Single
#Date/Time: 12/7/2021 5:52:19 PM
#Sensor Name: 37895_001_PSS_HM_XX
#Station: Tesla
#Annealing Status: Not Irradiated
#Environment: 23.5C
#Tester: Eric Spencer

#Notes: 

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
35	3721762985.459425	1.282074	23.500000	28.737449	-3.720000E-9	-5.403396E-11	8.579600E-11	-3.819235E-11	-3.744533E-11	-3.651062E-11	-3.597581E-11	-3.703103E-11	-3.697797E-11	-3.353232E-6
36	3721763002.590182	1.280058	23.500000	28.740917	-3.730000E-9	-5.103010E-11	8.579870E-11	-3.602446E-11	-3.727154E-11	-3.626611E-11	-3.652533E-11	-3.652186E-11	-3.639572E-11	-3.353447E-6
37	3721763019.548911	1.253341	23.500000	28.748566	-3.730000E-9	-5.188117E-11	8.580120E-11	-3.671812E-11	-3.939405E-11	-3.936360E-11	-3.939425E-11	-3.871750E-11	-3.937882E-11	-3.351002E-6
38	3721763036.603297	1.236520	23.500000	28.743135	-3.720000E-9	-5.588636E-11	8.580210E-11	-3.426771E-11	-3.362350E-11	-3.388928E-11	-3.320011E-11	-3.374515E-11	-3.375639E-11	-3.349081E-6
39	3721763053.747301	1.233430	23.500000	28.755223	-3.720000E-9	-5.032921E-11	8.580310E-11	-3.162409E-11	-3.190048E-11	-3.319378E-11	-3.254202E-11	-3.231509E-11	-3.222125E-11	-3.349909E-6
40	3721763070.759406	1.254861	23.500000	28.762971	-3.730000E-9	-5.473488E-11	8.580920E-11	-3.707671E-11	-3.600484E-11	-3.583924E-11	-3.626714E-11	-3.629698E-11	-3.613599E-11	-3.349671E-6
41	3721763087.914874	1.228939	23.500000	28.758236	-3.720000E-9	-5.483497E-11	8.580870E-11	-4.016846E-11	-3.713497E-11	-3.723269E-11	-3.647647E-11	-3.775315E-11	-3.718383E-11	-3.350233E-6
42	3721763104.926750	1.222338	23.500000	28.770761	-3.730000E-9	-5.443443E-11	8.580950E-11	-3.474791E-11	-3.403892E-11	-3.556875E-11	-3.398514E-11	-3.458518E-11	-3.439341E-11	-3.354854E-6
43	3721763121.785953	1.221263	23.500000	28.781223	-3.730000E-9	-5.143060E-11	8.581220E-11	-3.700372E-11	-3.434149E-11	-3.571738E-11	-3.446417E-11	-3.538169E-11	-3.509077E-11	-3.356871E-6
44	3721763139.046962	1.225964	23.500000	28.773416	-3.720000E-9	-5.338308E-11	8.582140E-11	-4.458357E-11	-4.515888E-11	-4.575665E-11	-4.359062E-11	-4.477243E-11	-4.487122E-11	-3.360394E-6
45	3721763156.080198	1.214008	23.500000	28.781878	-3.720000E-9	-5.253202E-11	8.582060E-11	-3.818418E-11	-3.982318E-11	-3.881304E-11	-3.962936E-11	-3.911244E-11	-3.922120E-11	-3.356337E-6
46	3721763173.098368	1.210360	23.500000	28.779478	-3.720000E-9	-5.393379E-11	8.582390E-11	-4.412889E-11	-4.374535E-11	-4.322240E-11	-4.328046E-11	-4.359427E-11	-4.351291E-11	-3.356517E-6
47	3721763190.002259	1.189262	23.500000	28.785364	-3.730000E-9	-5.758852E-11	8.582560E-11	-4.200578E-11	-4.197041E-11	-4.258986E-11	-4.284624E-11	-4.235307E-11	-4.229782E-11	-3.358378E-6
48	3721763207.263336	1.194440	23.500000	28.784216	-3.730000E-9	-5.513536E-11	8.582430E-11	-3.483726E-11	-3.458622E-11	-3.624851E-11	-3.654495E-11	-3.555423E-11	-3.554288E-11	-3.356502E-6
49	3721763224.113495	1.196363	23.500000	28.797275	-3.730000E-9	-5.263216E-11	8.582460E-11	-3.788467E-11	-3.699800E-11	-3.620580E-11	-3.610829E-11	-3.679919E-11	-3.660190E-11	-3.354987E-6
50	3721763241.259516	1.200829	23.500000	28.807657	-3.730000E-9	-5.358338E-11	8.582880E-11	-3.961402E-11	-3.993255E-11	-4.304332E-11	-4.068591E-11	-4.081895E-11	-4.030923E-11	-3.356188E-6
51	3721763258.164673	1.198605	23.500000	28.796699	-3.720000E-9	-5.348324E-11	8.583100E-11	-3.775158E-11	-3.812630E-11	-3.606677E-11	-3.647443E-11	-3.710477E-11	-3.711300E-11	-3.352285E-6
52	3721763275.153680	1.177295	23.500000	28.805636	-3.720000E-9	-5.273231E-11	8.583080E-11	-3.595943E-11	-3.814348E-11	-3.766692E-11	-3.646706E-11	-3.705922E-11	-3.706699E-11	-3.352571E-6
53	3721763292.201111	1.192881	23.500000	28.810016	-3.730000E-9	-5.378362E-11	8.583160E-11	-4.011960E-11	-4.138222E-11	-4.180520E-11	-4.046181E-11	-4.094221E-11	-4.092201E-11	-3.353076E-6
54	3721763309.201044	1.200540	23.500000	28.804626	-3.730000E-9	-5.233178E-11	8.582670E-11	-3.527620E-11	-3.895531E-11	-3.914811E-11	-3.945353E-11	-3.820829E-11	-3.905171E-11	-3.354525E-6
55	3721763326.218139	1.194992	23.500000	28.814496	-3.730000E-9	-5.032919E-11	8.583400E-11	-3.493990E-11	-3.510305E-11	-3.578997E-11	-3.733860E-11	-3.579288E-11	-3.544651E-11	-3.353655E-6
56	3721763343.351714	1.203306	23.500000	28.825197	-3.730000E-9	-5.723807E-11	8.584020E-11	-3.809544E-11	-3.621970E-11	-3.697776E-11	-4.040809E-11	-3.792525E-11	-3.753660E-11	-3.357676E-6
57	3721763360.367676	1.185740	23.500000	28.812574	-3.720000E-9	-5.348327E-11	8.583930E-11	-3.747557E-11	-3.780841E-11	-3.754304E-11	-3.475713E-11	-3.689604E-11	-3.750931E-11	-3.361481E-6
58	3721763377.835366	1.194994	23.500000	28.811662	-3.720000E-9	-5.248201E-11	8.583720E-11	-3.928876E-11	-3.786585E-11	-3.878541E-11	-3.615387E-11	-3.802347E-11	-3.832563E-11	-3.356188E-6
59	3721763395.014422	1.180661	23.500000	28.821590	-3.730000E-9	-5.778882E-11	8.583630E-11	-3.763442E-11	-3.526578E-11	-3.856217E-11	-3.844647E-11	-3.747721E-11	-3.804044E-11	-3.355007E-6
60	3721763412.014374	1.180020	23.500000	28.827356	-3.720000E-9	-5.348328E-11	8.583880E-11	-3.951019E-11	-4.179113E-11	-4.171712E-11	-3.866197E-11	-4.042010E-11	-4.061365E-11	-3.351371E-6
