#Open Capacitance 1000Hz:4.509180E-12
#Open Capacitance 1000000Hz:Not Measured
#34330_048_2-S_HM_XX_Irrad_1100min_Single
#Date/Time: 11/17/2021 11:45:56 AM
#Sensor Name: 34330_048_2-S_HM_XX_Irrad_1100min
#Type: P
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer

#Notes: After Alibava

#Time Delay per Ramp Step (s): 0.000

#Time Delay per Measurement (s) :0.000

#Number of measurements per voltage: 0.000



Strip 	Time	RH	ChuckT	AirT	Global Current	Pinhole	Coupling Cap	Istrip_0	Istrip_1	Istrip_2	Istrip_3	Istrip_Mean	Istrip_Median	I_RBias_V-5.0
1	3720012425.490913	1.230534	-20.000000	24.922592	-5.808000E-6	-5.423442E-11	7.899380E-11	-8.281062E-8	-8.279492E-8	-8.278261E-8	-8.277930E-8	-8.279186E-8	-8.278876E-8	-1.999767E-6
2	3720012442.215553	1.253453	-20.000000	24.915953	-5.811000E-6	-5.283260E-11	7.902410E-11	-8.190327E-8	-8.188866E-8	-8.188946E-8	-8.189465E-8	-8.189401E-8	-8.189205E-8	-2.002885E-6
3	3720012457.947186	1.243005	-20.000000	24.893481	-5.812000E-6	-5.493533E-11	7.901390E-11	-8.157348E-8	-8.159080E-8	-8.160268E-8	-8.160670E-8	-8.159341E-8	-8.159674E-8	-2.004600E-6
#Open Capacitance 1000Hz:4.507000E-12
#Open Capacitance 1000000Hz:Not Measured
#34330_048_2-S_HM_XX_Irrad_1100min_Single
#Date/Time: 11/17/2021 11:52:40 AM
#Sensor Name: 34330_048_2-S_HM_XX_Irrad_1100min
#Type: P
#Annealing Status: 1100 min
#Environment: -20.0C
#Tester: Eric Spencer
32	3720013278.767354	1.207860	-20.000000	24.789208	-5.788000E-6	-5.368367E-11	7.903070E-11	-7.932088E-8	-7.932336E-8	-7.933610E-8	-7.935220E-8	-7.933313E-8	-7.932973E-8	-2.005720E-6
33	3720013294.743163	1.216360	-20.000000	24.766060	-5.785000E-6	-5.438461E-11	7.902970E-11	-7.919521E-8	-7.919514E-8	-7.919056E-8	-7.918813E-8	-7.919226E-8	-7.919285E-8	-2.006641E-6
34	3720013310.839547	1.217934	-20.000000	24.759997	-5.785000E-6	-5.027929E-11	7.902850E-11	-7.921585E-8	-7.922233E-8	-7.922791E-8	-7.923627E-8	-7.922559E-8	-7.922512E-8	-2.008512E-6
35	3720013326.985870	1.214564	-20.000000	24.748325	-5.787000E-6	-5.072988E-11	7.903180E-11	-7.902168E-8	-7.902489E-8	-7.901765E-8	-7.901048E-8	-7.901867E-8	-7.901967E-8	-2.008839E-6
36	3720013342.866437	1.218350	-20.000000	24.749018	-5.785000E-6	-5.518563E-11	7.903560E-11	-7.905652E-8	-7.906539E-8	-7.907418E-8	-7.908068E-8	-7.906919E-8	-7.906978E-8	-2.009353E-6
37	3720013358.889113	1.208358	-20.000000	24.769548	-5.782000E-6	-5.178123E-11	7.904010E-11	-7.899164E-8	-7.899364E-8	-7.900420E-8	-7.901517E-8	-7.900116E-8	-7.899892E-8	-2.009297E-6
38	3720013374.944355	1.223588	-20.000000	24.740418	-5.783000E-6	-5.268238E-11	7.903630E-11	-7.889177E-8	-7.888447E-8	-7.888145E-8	-7.888015E-8	-7.888446E-8	-7.888296E-8	-2.009557E-6
39	3720013391.436146	1.236541	-20.000000	24.756945	-5.784000E-6	-5.543600E-11	7.903390E-11	-7.885816E-8	-7.885341E-8	-7.886055E-8	-7.885997E-8	-7.885802E-8	-7.885907E-8	-2.008291E-6
40	3720013407.517183	1.231946	-20.000000	24.748325	-5.786000E-6	-5.513557E-11	7.903430E-11	-7.885784E-8	-7.885851E-8	-7.886058E-8	-7.885772E-8	-7.885866E-8	-7.885818E-8	-2.009694E-6
41	3720013423.272919	1.207741	-20.000000	24.753418	-5.789000E-6	-5.518568E-11	7.903480E-11	-7.867371E-8	-7.867060E-8	-7.866780E-8	-7.866652E-8	-7.866966E-8	-7.866920E-8	-2.009337E-6
42	3720013439.266520	1.206792	-20.000000	24.760631	-5.782000E-6	-5.103029E-11	7.903300E-11	-7.858205E-8	-7.858109E-8	-7.858878E-8	-7.860086E-8	-7.858820E-8	-7.858542E-8	-2.011295E-6
43	3720013455.220080	1.208491	-20.000000	24.753538	-5.785000E-6	-5.633713E-11	7.903410E-11	-7.849052E-8	-7.848774E-8	-7.849588E-8	-7.850366E-8	-7.849445E-8	-7.849320E-8	-2.012144E-6
44	3720013471.237214	1.209280	-20.000000	24.749810	-5.781000E-6	-5.393405E-11	7.903770E-11	-7.847103E-8	-7.846923E-8	-7.846612E-8	-7.846420E-8	-7.846765E-8	-7.846767E-8	-2.011567E-6
45	3720013487.261814	1.194772	-20.000000	24.742717	-5.782000E-6	-4.892756E-11	7.904070E-11	-7.836223E-8	-7.836005E-8	-7.836042E-8	-7.836572E-8	-7.836211E-8	-7.836132E-8	-2.011606E-6
46	3720013503.350578	1.206743	-20.000000	24.764475	-5.780000E-6	-5.743854E-11	7.903950E-11	-7.828327E-8	-7.827436E-8	-7.827028E-8	-7.826708E-8	-7.827375E-8	-7.827232E-8	-2.013342E-6
47	3720013519.359832	1.199594	-20.000000	24.750662	-5.783000E-6	-5.383388E-11	7.903960E-11	-7.821760E-8	-7.821770E-8	-7.821987E-8	-7.821858E-8	-7.821844E-8	-7.821814E-8	-2.013375E-6
48	3720013535.304407	1.212637	-20.000000	24.743727	-5.781000E-6	-5.218177E-11	7.903840E-11	-7.816286E-8	-7.816170E-8	-7.816099E-8	-7.816227E-8	-7.816196E-8	-7.816199E-8	-2.013379E-6
49	3720013551.626433	1.212878	-20.000000	24.733761	-5.783000E-6	-5.608682E-11	7.903910E-11	-7.811727E-8	-7.810740E-8	-7.809663E-8	-7.809499E-8	-7.810407E-8	-7.810201E-8	-2.013583E-6
50	3720013567.803937	1.205372	-20.000000	24.746223	-5.782000E-6	-5.288268E-11	7.904370E-11	-7.806980E-8	-7.805972E-8	-7.804840E-8	-7.804550E-8	-7.805585E-8	-7.805406E-8	-2.013488E-6
51	3720013583.751161	1.207083	-20.000000	24.737683	-5.780000E-6	-5.423442E-11	7.903670E-11	-7.796559E-8	-7.796733E-8	-7.797173E-8	-7.797978E-8	-7.797111E-8	-7.796953E-8	-2.015009E-6
52	3720013599.931036	1.201419	-20.000000	24.725753	-5.780000E-6	-5.533582E-11	7.904870E-11	-7.787580E-8	-7.787477E-8	-7.787597E-8	-7.788607E-8	-7.787815E-8	-7.787589E-8	-2.015110E-6
53	3720013615.770792	1.195175	-20.000000	24.731956	-5.781000E-6	-5.027930E-11	7.905350E-11	-7.779118E-8	-7.778895E-8	-7.779366E-8	-7.779911E-8	-7.779323E-8	-7.779242E-8	-2.015573E-6
54	3720013631.784021	1.192818	-20.000000	24.733423	-5.782000E-6	-5.513557E-11	7.905670E-11	-7.770968E-8	-7.770723E-8	-7.771362E-8	-7.772142E-8	-7.771299E-8	-7.771165E-8	-2.012972E-6
55	3720013647.673422	1.216757	-20.000000	24.727558	-5.778000E-6	-5.463492E-11	7.905680E-11	-7.758759E-8	-7.758883E-8	-7.759711E-8	-7.759844E-8	-7.759299E-8	-7.759297E-8	-2.015601E-6
56	3720013664.081017	1.224479	-20.000000	24.723673	-5.783000E-6	-5.353350E-11	7.905950E-11	-7.757345E-8	-7.756699E-8	-7.757079E-8	-7.757258E-8	-7.757095E-8	-7.757168E-8	-2.017217E-6
57	3720013679.968127	1.230619	-20.000000	24.755400	-5.776000E-6	-5.358358E-11	7.906420E-11	-7.756994E-8	-7.756942E-8	-7.757652E-8	-7.757848E-8	-7.757359E-8	-7.757323E-8	-2.016431E-6
58	3720013696.062624	1.216342	-20.000000	24.737901	-5.778000E-6	-5.413426E-11	7.906670E-11	-7.767607E-8	-7.767299E-8	-7.767272E-8	-7.767228E-8	-7.767351E-8	-7.767286E-8	-2.015275E-6
59	3720013712.225964	1.212112	-20.000000	24.749057	-5.778000E-6	-4.872732E-11	7.907170E-11	-7.802240E-8	-7.802007E-8	-7.801968E-8	-7.801688E-8	-7.801976E-8	-7.801988E-8	-2.014529E-6
60	3720013727.822096	1.220681	-20.000000	24.758371	-5.778000E-6	-5.528577E-11	7.904770E-11	-7.887493E-8	-7.887128E-8	-7.887733E-8	-7.887985E-8	-7.887585E-8	-7.887613E-8	-2.007838E-6
